variable	condition	condition2	value	replicate
I-TAC (46)	DC	SC moDC	0	1
I-TAC (46)	DC	SC moDC	0	2
I-TAC (46)	DC	SC moDC	29.8	3
I-TAC (46)	DC	SC moDC	0	4
I-TAC (46)	DC + Afu 0h	SI Afu	32.26	1
I-TAC (46)	DC + Afu 0h	SI Afu	0	2
I-TAC (46)	DC + Afu 0h	SI Afu	0	3
I-TAC (46)	DC + Afu 0h	SI Afu	0	4
I-TAC (46)	DC + Afu 4.5h	SI Afu	0	1
I-TAC (46)	DC + Afu 4.5h	SI Afu	0	2
I-TAC (46)	DC + Afu 4.5h	SI Afu	0	3
I-TAC (46)	DC + Afu 4.5h	SI Afu	0	4
I-TAC (46)	DC + CMV 0h	SI CMV	276.62	1
I-TAC (46)	DC + CMV 0h	SI CMV	204.92	2
I-TAC (46)	DC + CMV 0h	SI CMV	275.48	3
I-TAC (46)	DC + CMV 0h	SI CMV	1620.29	4
I-TAC (46)	DC + CMV 0h + Afu 0h	CoI	760.2	1
I-TAC (46)	DC + CMV 0h + Afu 0h	CoI	276.62	2
I-TAC (46)	DC + CMV 0h + Afu 0h	CoI	424.85	3
I-TAC (46)	DC + CMV 0h + Afu 0h	CoI	1269.26	4
I-TAC (46)	DC + CMV 0h + Afu 4.5h	CoI	274.34	1
I-TAC (46)	DC + CMV 0h + Afu 4.5h	CoI	217.42	2
I-TAC (46)	DC + CMV 0h + Afu 4.5h	CoI	297.93	3
I-TAC (46)	DC + CMV 0h + Afu 4.5h	CoI	1165.04	4
I-TAC (46)	DC + CMV 2h + Afu 0h	CoI	342.22	1
I-TAC (46)	DC + CMV 2h + Afu 0h	CoI	100.71	2
I-TAC (46)	DC + CMV 2h + Afu 0h	CoI	130.13	3
I-TAC (46)	DC + CMV 2h + Afu 0h	CoI	346.43	4
I-TAC (46)	DC + CMV 2h	SI CMV	72.4	1
I-TAC (46)	DC + CMV 2h	SI CMV	64.02	2
I-TAC (46)	DC + CMV 2h	SI CMV	97.44	3
I-TAC (46)	DC + CMV 2h	SI CMV	346.96	4
I-TAC (46)	Afu 0h	SC Afu	0	1
I-TAC (46)	Afu 0h	SC Afu	0	2
I-TAC (46)	Afu 0h	SC Afu	0	3
I-TAC (46)	Afu 0h	SC Afu	0	4
I-TAC (46)	Afu 4.5h	SC Afu	0	1
I-TAC (46)	Afu 4.5h	SC Afu	0	2
I-TAC (46)	Afu 4.5h	SC Afu	0	3
I-TAC (46)	Afu 4.5h	SC Afu	0	4
IFN-alpha (48)	DC	SC moDC	0	1
IFN-alpha (48)	DC	SC moDC	0	2
IFN-alpha (48)	DC	SC moDC	0	3
IFN-alpha (48)	DC	SC moDC	0	4
IFN-alpha (48)	DC + Afu 0h	SI Afu	0	1
IFN-alpha (48)	DC + Afu 0h	SI Afu	0	2
IFN-alpha (48)	DC + Afu 0h	SI Afu	0.35	3
IFN-alpha (48)	DC + Afu 0h	SI Afu	0	4
IFN-alpha (48)	DC + Afu 4.5h	SI Afu	0	1
