variable	condA	condB	Mean_A	Mean_B	Pvalue	padj
I-TAC (46)	5. DC + Afu + CMV	1. DC alone	682.73	7.45	0.0265	0.036184615384615
RANTES (42)	7. DC + Afu + CMV	1. DC alone	79.67	0.45	0.0294	0.036184615384615
IL-1beta (18)	7. DC + Afu + CMV	8. DC + CMV	1279.2	0.42	0.0294	0.052266666666667
TNF-alpha (45)	5. DC + Afu + CMV	4. DC + CMV	4967.48	46.45	0.0286	0.065371428571429
IL-2 (19)	4. DC + CMV	1. DC alone	35.38	0	0.0211	0.0672
I-TAC (46)	4. DC + CMV	1. DC alone	594.33	7.45	0.0265	0.0672
IL-8 (27)	3. DC + Afu	1. DC alone	6483.93	980.66	0.0286	0.0715
TNF-alpha (45)	3. DC + Afu	1. DC alone	2619.95	9.09	0.0286	0.0715
IFN-alpha (48)	5. DC + Afu + CMV	1. DC alone	32.73	0	0.0689	0.073493333333333
IFN-gamma (43)	6. DC + Afu + CMV	4. DC + CMV	44.59	4.76	0.0286	0.076266666666667
IL-12p70 (34)	4. DC + CMV	1. DC alone	0.61	0	0.186	0.270545454545455
IL-12p70 (34)	5. DC + Afu + CMV	1. DC alone	2.02	0	0.0211	0.036184615384615
IL-8 (27)	5. DC + Afu + CMV	1. DC alone	5936.07	980.66	0.0286	0.036184615384615
IL-2 (19)	6. DC + Afu + CMV	1. DC alone	41.88	0	0.0202	0.036184615384615
IL-1beta (18)	7. DC + Afu + CMV	1. DC alone	1279.2	1.03	0.0286	0.036184615384615
TNF-alpha (45)	7. DC + Afu + CMV	8. DC + CMV	5281.64	27.77	0.0286	0.052266666666667
IP-10 (22)	6. DC + Afu + CMV	3. DC + Afu	1366.64	88.05	0.0286	0.0588
IL-1beta (18)	5. DC + Afu + CMV	4. DC + CMV	1154.15	1.74	0.0286	0.065371428571429
IL-1alpha (62)	8. DC + CMV	1. DC alone	6.23	3.46	0.0286	0.0858
IL-6 (25)	4. DC + CMV	1. DC alone	1372.63	101.07	0.0571	0.105066666666667
IL-17A (36)	4. DC + CMV	1. DC alone	11.28	3.83	0.0591	0.105066666666667
IL-12p70 (34)	7. DC + Afu + CMV	8. DC + CMV	0.99	0.01	0.122	0.177454545454545
IL-8 (27)	6. DC + Afu + CMV	1. DC alone	6296.08	980.66	0.0286	0.036184615384615
IP-10 (22)	6. DC + Afu + CMV	1. DC alone	1366.64	30.7	0.0286	0.036184615384615
TNF-alpha (45)	6. DC + Afu + CMV	1. DC alone	3197.83	9.09	0.0286	0.036184615384615
IL-17A (36)	7. DC + Afu + CMV	1. DC alone	10.99	3.83	0.0284	0.036184615384615
IL-1alpha (62)	3. DC + Afu	1. DC alone	12.67	3.46	0.0286	0.0715
IL-1beta (18)	3. DC + Afu	1. DC alone	425.61	1.03	0.0286	0.0715
IL-6 (25)	8. DC + CMV	1. DC alone	1098.63	101.07	0.2	0.3
IL-8 (27)	8. DC + CMV	1. DC alone	1574.3	980.66	0.2	0.3
IL-2 (19)	5. DC + Afu + CMV	4. DC + CMV	55.46	35.38	0.2	0.32
IFN-gamma (43)	5. DC + Afu + CMV	2. DC + Afu	275.9	27.55	0.114	0.330666666666667
IFN-beta (30)	3. DC + Afu	1. DC alone	44.78	30.78	0.561	0.601071428571429
IL-2 (19)	5. DC + Afu + CMV	1. DC alone	55.46	0	0.0211	0.036184615384615
IFN-beta (30)	5. DC + Afu + CMV	1. DC alone	592.8	30.78	0.0286	0.036184615384615
IL-10 (28)	5. DC + Afu + CMV	1. DC alone	360.86	12.07	0.0286	0.036184615384615
IFN-alpha (48)	6. DC + Afu + CMV	1. DC alone	13.67	0	0.0211	0.036184615384615
IL-1beta (18)	6. DC + Afu + CMV	1. DC alone	154.07	1.03	0.0286	0.036184615384615
IFN-beta (30)	7. DC + Afu + CMV	1. DC alone	344.25	30.78	0.0286	0.036184615384615
IFN-gamma (43)	7. DC + Afu + CMV	1. DC alone	94.02	3.04	0.0286	0.036184615384615
IL-1beta (18)	2. DC + Afu	1. DC alone	1239.47	1.03	0.0286	0.052266666666667
IL-6 (25)	2. DC + Afu	1. DC alone	6403.24	101.07	0.0286	0.052266666666667
IL-17A (36)	7. DC + Afu + CMV	8. DC + CMV	10.99	5.58	0.0294	0.052266666666667
IFN-alpha (48)	6. DC + Afu + CMV	3. DC + Afu	13.67	0	0.0211	0.0588
IFN-gamma (43)	6. DC + Afu + CMV	3. DC + Afu	44.59	4.73	0.0286	0.0588
RANTES (42)	6. DC + Afu + CMV	3. DC + Afu	61.33	4.68	0.0286	0.0588
IL-2 (19)	6. DC + Afu + CMV	3. DC + Afu	41.88	20.86	0.0294	0.0588
IL-17A (36)	2. DC + Afu	1. DC alone	12.14	3.83	0.0408	0.06528
RANTES (42)	5. DC + Afu + CMV	4. DC + CMV	140.09	25.67	0.0286	0.065371428571429
IP-10 (22)	4. DC + CMV	1. DC alone	1167.03	30.7	0.0286	0.0672
TNF-alpha (45)	4. DC + CMV	1. DC alone	46.45	9.09	0.0286	0.0672
RANTES (42)	4. DC + CMV	1. DC alone	25.67	0.45	0.0294	0.0672
IL-17A (36)	6. DC + Afu + CMV	1. DC alone	8.94	3.83	0.0591	0.067542857142857
IL-12p70 (34)	6. DC + Afu + CMV	1. DC alone	2.26	0	0.0689	0.073493333333333
IP-10 (22)	8. DC + CMV	1. DC alone	1506.57	30.7	0.0286	0.0858
TNF-alpha (45)	8. DC + CMV	1. DC alone	27.77	9.09	0.0286	0.0858
IL-12p70 (34)	2. DC + Afu	1. DC alone	0.51	0	0.0689	0.091866666666667
RANTES (42)	5. DC + Afu + CMV	2. DC + Afu	140.09	20.16	0.0286	0.1144
IFN-beta (30)	7. DC + Afu + CMV	2. DC + Afu	344.25	57.5	0.0286	0.152533333333333
IL-23 (63)	7. DC + Afu + CMV	8. DC + CMV	5.97	1.75	0.146	0.194666666666667
IL-6 (25)	5. DC + Afu + CMV	4. DC + CMV	7078.54	1372.63	0.11	0.195555555555556
RANTES (42)	6. DC + Afu + CMV	4. DC + CMV	61.33	25.67	0.114	0.228
IFN-alpha (48)	7. DC + Afu + CMV	8. DC + CMV	1.5	0	0.186	0.228923076923077
IFN-beta (30)	2. DC + Afu	1. DC alone	57.5	30.78	0.2	0.246153846153846
IFN-alpha (48)	5. DC + Afu + CMV	2. DC + Afu	32.73	0.09	0.124	0.330666666666667
IL-23 (63)	7. DC + Afu + CMV	1. DC alone	5.97	10.02	0.384	0.384
I-TAC (46)	7. DC + Afu + CMV	8. DC + CMV	229.87	145.2	0.343	0.392
IL-17A (36)	6. DC + Afu + CMV	3. DC + Afu	8.94	6.67	0.245	0.392
IL-6 (25)	6. DC + Afu + CMV	3. DC + Afu	7636.34	3602.68	0.309	0.392
IL-1beta (18)	6. DC + Afu + CMV	3. DC + Afu	154.07	425.61	0.343	0.392
IL-8 (27)	6. DC + Afu + CMV	3. DC + Afu	6296.08	6483.93	0.343	0.392
TNF-alpha (45)	6. DC + Afu + CMV	3. DC + Afu	3197.83	2619.95	0.343	0.392
IFN-gamma (43)	3. DC + Afu	1. DC alone	4.73	3.04	0.561	0.601071428571429
