	fastq_files	reads_mapped_Hsapiens	reads_mapped_Afumigatus	reads_mapped_CMV	percentage_reads_mapped_Hsapiens	percentage_reads_mapped_Afumigatus	percentage_reads_mapped_CMV	genome_coverage_Hsapiens	genome_coverage_Afumigatus	genome_coverage_CMV	reads_mapping_in_exons_Hsapiens	reads_mapping_in_exons_Afumigatus	reads_mapping_in_exons_CMV	percentage_reads_mapping_in_exons_Hsapiens	percentage_reads_mapping_in_exons_Afumigatus	percentage_reads_mapping_in_exons_CMV	exon_coverage_Hsapiens	exon_coverage_Afumigatus	exon_coverage_CMV
Donor1_01_DC_alone	ID-005842-DC_alone.fq.gz	18718857	110825	228	89.3039960062646	0.528724342378078	0.00108774328953	0.443345887669635	0.276556011099471	0.073079350360183	6723358	852	170	32.0758225772379	0.004064724924034	0.000811036663246	3.76967849995839	0.004286841552841	0.068989989276199
Donor1_02_DC_plus_Afu_0h	ID-005843-DC_+_Afu_0h.fq.gz	20205583	4977547	55	87.8994852166511	21.653610239392	0.000239264152235	0.478317648689387	12.4148762202779	0.017619930146256	5645291	444922	42	24.5584684588509	1.93552518437913	0.000182710807162	3.16363281168033	2.2375017288109	0.017036018705847
Donor1_03_DC_plus_Afu_4h30min	ID-005844-DC_+_Afu_4.5h.fq.gz	22091180	2865125	166	99.1754911977362	12.8626075754176	0.000745235498458	0.522331656763891	7.13761325319232	0.053116811176599	5925859	444150	130	26.6033764196175	1.99395389542227	0.000583618161443	3.31690829951515	2.2309589484597	0.052667727991333
Donor1_04_DC_plus_CMV_0h	ID-005845-DC_+_CMV_0h.fq.gz	23862258	114178	281718	113.370257690062	0.54246288354337	1.33845012722303	0.563258471683787	0.2839622649476	89.9926965265226	6938151	511	218324	32.9633501893475	0.002427775346307	1.03726345343869	3.8769898215551	0.002562427429932	88.3021896963064
Donor1_05_DC_plus_CMV_0h_plus_Afu_0h	ID-005846-DC_+_Afu_0h_+_CMV_0h.fq.gz	17447801	3682897	319081	84.7029849258717	17.8791796785473	1.54902690219427	0.412008919814338	9.16299599843196	101.967867491377	5607601	667362	238263	27.2229459158379	3.23980961418001	1.15668371603923	3.13471268689622	3.34781824809579	96.4042816971245
Donor1_06_DC_plus_CMV_0h_plus_Afu_4h30min	ID-005847-DC_+_Afu_4.5h_+_CMV_0h.fq.gz	20777296	2326632	334464	90.6714949629968	10.1533520853121	1.45959083854337	0.491565339043757	5.79965189636406	107.08732697315	6596995	435491	257671	28.7890878059116	1.90046962862398	1.12446849573738	3.69481840669683	2.18879903674416	104.455561215769
Donor1_07_DC_plus_Afu_0h_plus_CMV_2h	ID-005848-DC_+_Afu_0h_+_CMV_2h.fq.gz	16997588	5467208	253307	75.0302447900102	24.1331861060465	1.11814018653841	0.40263395673742	13.6449108440061	81.2020073433748	5803485	994097	190175	25.6175699861152	4.3881132578937	0.839464799531568	3.25436817997299	5.00249131084994	77.1880951986114
Donor1_08_DC_plus_CMV_2h	ID-005849-DC_+_CMV_2h.fq.gz	20451421	120896	217781	88.2129048453772	0.521459479230647	0.939352557953361	0.482527406526437	0.300533184374161	69.5368410172452	7552778	371	169473	32.5773200322979	0.001600230502205	0.730986156065175	4.21851826655393	0.001859545824849	68.5129727869722
Donor1_09_Afu_alone_0h	ID-005850-Afu_alone_0h.fq.gz	1305714	22748436	5	6.03474835272132	105.138710834062	2.31E-05	0.030880260582167	56.6847771876288	0.001600292512552	437213	1516014	4	2.02071083831402	7.00671279407471	1.85E-05	0.244782677207196	7.61676553064054	0.00162093905122
Donor1_10_Afu_alone_4h30min	ID-005851-Afu_alone_4.5h.fq.gz	398470	24006816	1	1.72806103632836	104.111334193049	4.34E-06	0.00945083593364	59.9916991409763	0.000320974896311	139477	4497019	1	0.604875571972721	19.5024049828803	4.34E-06	0.078312648090635	22.6586377162453	0.000406395033885
Donor2_01_DC_alone	ID-005852-DC_alone.fq.gz	25686157	99900	4	117.349769023021	0.456403109480324	1.83E-05	0.611443506041604	0.250555936473726	0.001288586771447	6349524	3310	1	29.0084334066061	0.015122064988788	4.57E-06	3.57810508455657	0.016738621034548	0.000407878677324
Donor2_02_DC_plus_Afu_0h	ID-005853-DC_+_Afu_0h.fq.gz	19587258	1124903	1	95.8996076966022	5.50754763105336	4.90E-06	0.466046145513692	2.82002109031969	0.000321996943899	6103554	109739	1	29.8831226992072	0.537284343169291	4.90E-06	3.43789640478609	0.554690533397326	0.000407689076095
Donor2_03_DC_plus_Afu_4h30min	ID-005854-DC_+_Afu_4.5h.fq.gz	19903070	1158622	1	95.8297521083747	5.57855944069479	4.81E-06	0.47361109029381	2.90486242141863	0.000322031434185	5873866	116869	0	28.2816230208611	0.562703507506814	0	3.30887640712671	0.590793352540287	0
Donor2_04_DC_plus_CMV_0h	ID-005855-DC_+_CMV_0h.fq.gz	20712191	73330	53987	96.5886546684319	0.341965079736669	0.251761472245241	0.493053266806115	0.183921071319098	17.3921577668631	6303408	177	41711	29.3951373153246	0.000825416870495	0.194513915735663	3.5522042928484	0.00089510821662	17.0134425309277
Donor2_05_DC_plus_CMV_0h_plus_Afu_0h	ID-005856-DC_+_Afu_0h_+_CMV_0h.fq.gz	23336301	830584	169369	108.158882496224	3.84958341338004	0.784989950613982	0.554713853219729	2.08018786998377	54.4838000681074	6178695	135241	131296	28.6369612084198	0.626813796568354	0.608529545287588	3.47687013501475	0.682935748407452	53.4764153228749
Donor2_06_DC_plus_CMV_0h_plus_Afu_4h30min	ID-005857-DC_+_Afu_4.5h_+_CMV_0h.fq.gz	16936271	1514442	73911	74.4943331594896	6.66128611774834	0.325098167013922	0.401920743070637	3.78666840882685	23.7371283313687	6450346	123369	57057	28.3719021689002	0.542639603933657	0.250965703553102	3.6237677474708	0.621960995351801	23.2009280736957
Donor2_07_DC_plus_Afu_0h_plus_CMV_2h	ID-005858-DC_+_Afu_0h_+_CMV_2h.fq.gz	23905932	1059397	71676	108.828960003081	4.82278096249852	0.326296608606635	0.567279402172881	2.6486957721686	23.0176811001965	5407978	140065	56501	24.6191874660876	0.637629534076795	0.257214195586856	3.03795242883694	0.706082486598297	22.9731880424088
Donor2_08_DC_plus_CMV_2h	ID-005859-DC_+_CMV_2h.fq.gz	20809366	166383	58914	95.8740292055657	0.766568698023267	0.271431746484573	0.490937792148872	0.413579088550966	18.8097316620825	6764041	787	45496	31.1636531541443	0.003625908688654	0.20961161588183	3.77770956472295	0.003944362560475	18.3913932141554
Donor2_09_Afu_alone_0h	ID-005860-Afu_alone_0h.fq.gz	369386	22643177	69	1.72839082166294	105.949492671865	0.000322857300208	0.008725896892267	56.3571485901224	0.022058461034709	124134	4119861	55	0.580834320348652	19.2772057926589	0.000257350021905	0.06941848215205	20.6750557025539	0.022262100206737
Donor2_10_Afu_alone_4h30min	ID-005861-Afu_alone_4.5h.fq.gz	729060	22033978	2	3.31747899990199	100.262336843747	9.10E-06	0.017240668589144	54.8991662089666	0.000640055009823	217629	5085677	2	0.990288367582461	23.1416161190911	9.10E-06	0.121832264581295	25.5490105371489	0.000810391031807
Donor3_01_DC_alone	ID-005862-DC_alone.fq.gz	20746751	106520	3	103.91039227583	0.533506908393578	1.50E-05	0.492898783246124	0.266637245326688	0.00096455140799	5425350	3979	2	27.1729412828868	0.019928877098179	1.00E-05	3.05133668199141	0.020082421113815	0.000814163156556
Donor3_02_DC_plus_Afu_0h	ID-005863-DC_+_Afu_0h.fq.gz	20302489	1517584	2	100.01225123032	7.47578251470123	9.85E-06	0.482284458340627	3.7982953069907	0.00064295481336	4790368	231131	2	23.597869596269	1.1385762425048	9.85E-06	2.69387586018424	1.16639771583545	0.000814062551822
Donor3_03_DC_plus_Afu_4h30min	ID-005864-DC_+_Afu_4.5h.fq.gz	19924918	1644625	11	110.097365150617	9.0875595654062	6.08E-05	0.472313812608592	4.10755130022826	0.003528769264353	4066839	211192	9	22.4717742071396	1.16696504050301	4.97E-05	2.28215848794127	1.06352094137559	0.003655530496501
Donor3_04_DC_plus_CMV_0h	ID-005865-DC_+_CMV_0h.fq.gz	20836525	121967	125796	110.011199888577	0.643952675257032	0.664168756603291	0.494026683970914	0.304683869234894	40.3634631041257	4845566	660	95919	25.583274072778	0.003484620968538	0.506426301032076	2.7197209523446	0.00332432541902	38.9675908261749
Donor3_05_DC_plus_CMV_0h_plus_Afu_0h	ID-005866-DC_+_Afu_0h_+_CMV_0h.fq.gz	16697643	1090789	94315	90.2649509724556	5.8966415563139	0.509852728973014	0.397266179384913	2.73431897665552	30.3671241104562	4235985	138030	71633	22.899098893482	0.746169455337382	0.387237242586269	2.38580834696821	0.697644844582466	29.2020513443446
Donor3_06_DC_plus_CMV_0h_plus_Afu_4h30min	ID-005867-DC_+_Afu_4.5h_+_CMV_0h.fq.gz	20999056	1640433	187746	107.767546243337	8.41873268905972	0.963515966479707	0.499598233262059	4.11208065245912	60.4488841283563	4519456	223303	143848	23.1939323117537	1.14599515229522	0.738230613414789	2.54543494893085	1.12862628103719	58.6406463290328
Donor3_07_DC_plus_Afu_0h_plus_CMV_2h	ID-005868-DC_+_Afu_0h_+_CMV_2h.fq.gz	18304733	2848914	126154	88.5901141089256	13.7879976914449	0.610552323013802	0.435502846973484	7.14149183616449	40.6186138388998	4327282	422182	96343	20.9429116590501	2.0432503197252	0.466274889865709	2.43723561658518	2.13383970532188	39.2754856339757
Donor3_08_DC_plus_CMV_2h	ID-005869-DC_+_CMV_2h.fq.gz	23704538	87859	257335	117.921097831249	0.437065246087299	1.28014415258397	0.563600830867265	0.220094094518646	82.8009769329841	5647322	902	199213	28.0932878778977	0.004487108343718	0.991009217823889	3.17861111981332	0.004555973044928	81.1580499192951
Donor3_09_Afu_alone_0h	ID-005870-Afu_alone_0h.fq.gz	133775	23398966	2	0.598652333021197	104.711983451195	8.95E-06	0.003176755775172	58.5446938858011	0.000642740013098	45587	4095196	2	0.204004962851335	18.3262839811555	8.95E-06	0.025627403059086	20.6594159607101	0.000813790587377
Donor3_10_Afu_alone_4h30min	ID-005871-Afu_alone_4.5h.fq.gz	297632	24458604	2	1.24816627142156	102.570975428907	8.39E-06	0.007063817034077	61.1608467297812	0.000642371534599	155575	4250391	2	0.652428057723664	17.824678416816	8.39E-06	0.087408636682013	21.4300498546697	0.000813324046743
Donor4_01_DC_alone	ID-005872-DC_alone.fq.gz	23192771	391713	2	105.525787553057	1.78227184754124	9.10E-06	0.551085101667005	0.980654487466444	0.000643120716001	6952385	43326	1	31.6329559110062	0.197130833203319	4.55E-06	3.91070054742055	0.218700162035544	0.000407136302831
