gene_symbol	organism	Donor	method	condition	value
ALAS	normref	1	qpcr	DC	22.464038848877
ALAS	normref	1	qpcr	DC + CMV 0h	22.5821571350098
ALAS	normref	1	qpcr	DC + Afu 0h	22.4449024200439
ALAS	normref	1	qpcr	DC + (CMV, Afu) 0h	22.1959037780762
TLR3	hs	1	qpcr	DC	30.3036003112793
TLR3	hs	1	qpcr	DC + CMV 0h	26.036190032959
TLR3	hs	1	qpcr	DC + Afu 0h	31.7862491607666
TLR3	hs	1	qpcr	DC + (CMV, Afu) 0h	28.2572536468506
ZBP1	hs	1	qpcr	DC	36.0102958679199
ZBP1	hs	1	qpcr	DC + CMV 0h	29.3610515594482
ZBP1	hs	1	qpcr	DC + Afu 0h	39.2119102478027
ZBP1	hs	1	qpcr	DC + (CMV, Afu) 0h	30.6579875946045
IFNG	hs	1	qpcr	DC	33.7350883483887
IFNG	hs	1	qpcr	DC + CMV 0h	30.5053253173828
IFNG	hs	1	qpcr	DC + Afu 0h	24.6269149780273
IFNG	hs	1	qpcr	DC + (CMV, Afu) 0h	21.3136577606201
CCR7	hs	1	qpcr	DC	26.2999420166016
CCR7	hs	1	qpcr	DC + CMV 0h	24.949161529541
CCR7	hs	1	qpcr	DC + Afu 0h	23.2980175018311
CCR7	hs	1	qpcr	DC + (CMV, Afu) 0h	22.5413589477539
IL15	hs	1	qpcr	DC	29.0432357788086
IL15	hs	1	qpcr	DC + CMV 0h	24.8861389160156
IL15	hs	1	qpcr	DC + Afu 0h	25.630615234375
IL15	hs	1	qpcr	DC + (CMV, Afu) 0h	24.2999420166016
CD40	hs	1	qpcr	DC	21.5816688537598
CD40	hs	1	qpcr	DC + CMV 0h	20.7425231933594
CD40	hs	1	qpcr	DC + Afu 0h	19.7763786315918
CD40	hs	1	qpcr	DC + (CMV, Afu) 0h	20.2357864379883
VEGFA	hs	1	qpcr	DC	29.9416809082031
VEGFA	hs	1	qpcr	DC + CMV 0h	30.9311122894287
VEGFA	hs	1	qpcr	DC + Afu 0h	26.4629364013672
VEGFA	hs	1	qpcr	DC + (CMV, Afu) 0h	27.8560962677002
ALAS	normref	2	qpcr	DC	21.1494884490967
ALAS	normref	2	qpcr	DC + CMV 0h	22.2758445739746
ALAS	normref	2	qpcr	DC + Afu 0h	24.861946105957
ALAS	normref	2	qpcr	DC + (CMV, Afu) 0h	21.7424430847168
TLR3	hs	2	qpcr	DC	27.748161315918
TLR3	hs	2	qpcr	DC + CMV 0h	24.9192848205566
TLR3	hs	2	qpcr	DC + Afu 0h	32.9777145385742
TLR3	hs	2	qpcr	DC + (CMV, Afu) 0h	26.0856628417969
ZBP1	hs	2	qpcr	DC	36.8872833251953
ZBP1	hs	2	qpcr	DC + CMV 0h	28.3393993377686
ZBP1	hs	2	qpcr	DC + Afu 0h	NA
ZBP1	hs	2	qpcr	DC + (CMV, Afu) 0h	29.1508979797363
IFNG	hs	2	qpcr	DC	NA
IFNG	hs	2	qpcr	DC + CMV 0h	31.9302768707275
IFNG	hs	2	qpcr	DC + Afu 0h	30.7685718536377
IFNG	hs	2	qpcr	DC + (CMV, Afu) 0h	25.4204082489014
CCR7	hs	2	qpcr	DC	24.9324340820313
CCR7	hs	2	qpcr	DC + CMV 0h	24.7925491333008
CCR7	hs	2	qpcr	DC + Afu 0h	25.6341876983643
CCR7	hs	2	qpcr	DC + (CMV, Afu) 0h	22.0404891967773
IL15	hs	2	qpcr	DC	27.154598236084
IL15	hs	2	qpcr	DC + CMV 0h	24.9472026824951
IL15	hs	2	qpcr	DC + Afu 0h	28.3632297515869
IL15	hs	2	qpcr	DC + (CMV, Afu) 0h	24.1541290283203
CD40	hs	2	qpcr	DC	22.3008289337158
CD40	hs	2	qpcr	DC + CMV 0h	21.9987087249756
CD40	hs	2	qpcr	DC + Afu 0h	24.1109886169434
CD40	hs	2	qpcr	DC + (CMV, Afu) 0h	21.9807548522949
VEGFA	hs	2	qpcr	DC	31.752326965332
VEGFA	hs	2	qpcr	DC + CMV 0h	32.0128479003906
VEGFA	hs	2	qpcr	DC + Afu 0h	31.4218635559082
VEGFA	hs	2	qpcr	DC + (CMV, Afu) 0h	30.1179580688477
ALAS	normref	3	qpcr	DC	23.3540744781494
ALAS	normref	3	qpcr	DC + CMV 0h	22.7051849365234
ALAS	normref	3	qpcr	DC + Afu 0h	23.4799308776855
ALAS	normref	3	qpcr	DC + (CMV, Afu) 0h	22.7717514038086
TLR3	hs	3	qpcr	DC	30.4708213806152
TLR3	hs	3	qpcr	DC + CMV 0h	25.3704872131348
TLR3	hs	3	qpcr	DC + Afu 0h	33.4268951416016
TLR3	hs	3	qpcr	DC + (CMV, Afu) 0h	27.3065776824951
ZBP1	hs	3	qpcr	DC	38.8596229553223
ZBP1	hs	3	qpcr	DC + CMV 0h	30.2911243438721
ZBP1	hs	3	qpcr	DC + Afu 0h	37.9338874816895
ZBP1	hs	3	qpcr	DC + (CMV, Afu) 0h	31.4638710021973
IFNG	hs	3	qpcr	DC	34.0904808044434
IFNG	hs	3	qpcr	DC + CMV 0h	33.4107894897461
IFNG	hs	3	qpcr	DC + Afu 0h	29.2858657836914
IFNG	hs	3	qpcr	DC + (CMV, Afu) 0h	27.0192832946777
CCR7	hs	3	qpcr	DC	25.1825942993164
CCR7	hs	3	qpcr	DC + CMV 0h	23.5735740661621
CCR7	hs	3	qpcr	DC + Afu 0h	23.7498588562012
CCR7	hs	3	qpcr	DC + (CMV, Afu) 0h	22.3508796691895
